benchmark	condition	seed	attention_alpha	layer_selection	is_baseline	Acc	Q_Acc	I_Acc	G_Acc	mean_image_attention_mass	mean_boosted_layer_image_attention_mass	out_path
naturalbench	baseline	0	0.000000	baseline	True	0.760000	0.570000	0.570000	0.310000	0.125950		runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_baseline_seed0.jsonl
naturalbench	alpha0p05_last25	0	0.050000	last25	False	0.760000	0.570000	0.570000	0.310000	0.127704	0.207004	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha0p05_last25_seed0.jsonl
naturalbench	alpha0p05_last50	0	0.050000	last50	False	0.757500	0.565000	0.565000	0.300000	0.128572	0.174366	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha0p05_last50_seed0.jsonl
naturalbench	alpha0p05_all	0	0.050000	all	False	0.765000	0.580000	0.580000	0.320000	0.130088	0.130088	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha0p05_all_seed0.jsonl
naturalbench	alpha0p1_last25	0	0.100000	last25	False	0.760000	0.570000	0.570000	0.310000	0.129338	0.213075	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha0p1_last25_seed0.jsonl
naturalbench	alpha0p1_last50	0	0.100000	last50	False	0.760000	0.570000	0.570000	0.310000	0.131130	0.179482	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha0p1_last50_seed0.jsonl
naturalbench	alpha0p1_all	0	0.100000	all	False	0.760000	0.570000	0.570000	0.310000	0.133951	0.133951	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha0p1_all_seed0.jsonl
naturalbench	alpha0p25_last25	0	0.250000	last25	False	0.765000	0.575000	0.575000	0.320000	0.134890	0.233514	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha0p25_last25_seed0.jsonl
naturalbench	alpha0p25_last50	0	0.250000	last50	False	0.765000	0.570000	0.575000	0.310000	0.139519	0.196235	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha0p25_last50_seed0.jsonl
naturalbench	alpha0p25_all	0	0.250000	all	False	0.765000	0.570000	0.580000	0.310000	0.146771	0.146771	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha0p25_all_seed0.jsonl
naturalbench	alpha0p5_last25	0	0.500000	last25	False	0.770000	0.575000	0.585000	0.320000	0.144597	0.269314	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha0p5_last25_seed0.jsonl
naturalbench	alpha0p5_last50	0	0.500000	last50	False	0.762500	0.565000	0.575000	0.310000	0.154267	0.225645	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha0p5_last50_seed0.jsonl
naturalbench	alpha0p5_all	0	0.500000	all	False	0.762500	0.565000	0.580000	0.310000	0.169356	0.169356	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha0p5_all_seed0.jsonl
naturalbench	alpha1_last25	0	1.000000	last25	False	0.767500	0.570000	0.585000	0.320000	0.165945	0.348432	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha1_last25_seed0.jsonl
naturalbench	alpha1_last50	0	1.000000	last50	False	0.762500	0.565000	0.580000	0.310000	0.186906	0.290938	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha1_last50_seed0.jsonl
naturalbench	alpha1_all	0	1.000000	all	False	0.765000	0.570000	0.585000	0.320000	0.221138	0.221138	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha1_all_seed0.jsonl
naturalbench	alpha2_last25	0	2.000000	last25	False	0.770000	0.580000	0.595000	0.340000	0.214202	0.526531	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha2_last25_seed0.jsonl
naturalbench	alpha2_last50	0	2.000000	last50	False	0.760000	0.560000	0.575000	0.320000	0.261891	0.440487	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha2_last50_seed0.jsonl
naturalbench	alpha2_all	0	2.000000	all	False	0.752500	0.555000	0.565000	0.310000	0.342620	0.342620	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha2_all_seed0.jsonl
naturalbench	alpha3_last25	0	3.000000	last25	False	0.767500	0.575000	0.585000	0.330000	0.260931	0.700309	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha3_last25_seed0.jsonl
naturalbench	alpha3_last50	0	3.000000	last50	False	0.760000	0.565000	0.575000	0.300000	0.341807	0.599841	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha3_last50_seed0.jsonl
naturalbench	alpha3_all	0	3.000000	all	False	0.765000	0.570000	0.580000	0.300000	0.479472	0.479472	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha3_all_seed0.jsonl
naturalbench	alpha4_last25	0	4.000000	last25	False	0.757500	0.560000	0.565000	0.310000	0.297379	0.835409	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha4_last25_seed0.jsonl
naturalbench	alpha4_last50	0	4.000000	last50	False	0.670000	0.455000	0.475000	0.240000	0.416343	0.746656	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha4_last50_seed0.jsonl
naturalbench	alpha4_all	0	4.000000	all	False	0.730000	0.515000	0.550000	0.280000	0.622722	0.622722	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha4_all_seed0.jsonl
naturalbench	alpha6_last25	0	6.000000	last25	False	0.765000	0.565000	0.580000	0.310000	0.331583	0.962683	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha6_last25_seed0.jsonl
naturalbench	alpha6_last50	0	6.000000	last50	False	0.510000	0.330000	0.335000	0.140000	0.509537	0.930286	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha6_last50_seed0.jsonl
naturalbench	alpha6_all	0	6.000000	all	False	0.360000	0.185000	0.260000	0.100000	0.856724	0.856724	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha6_all_seed0.jsonl
naturalbench	alpha8_last25	0	8.000000	last25	False	0.760000	0.560000	0.570000	0.300000	0.339900	0.993541	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha8_last25_seed0.jsonl
naturalbench	alpha8_last50	0	8.000000	last50	False	0.482500	0.305000	0.335000	0.150000	0.538461	0.987282	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha8_last50_seed0.jsonl
naturalbench	alpha8_all	0	8.000000	all	False	0.167500	0.075000	0.070000	0.020000	0.965270	0.965270	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha8_all_seed0.jsonl
naturalbench	alpha10_last25	0	10.000000	last25	False	0.760000	0.560000	0.570000	0.300000	0.341496	0.999427	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha10_last25_seed0.jsonl
naturalbench	alpha10_last50	0	10.000000	last50	False	0.472500	0.300000	0.315000	0.150000	0.544346	0.998549	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha10_last50_seed0.jsonl
naturalbench	alpha10_all	0	10.000000	all	False	0.152500	0.040000	0.055000	0.000000	0.993916	0.993916	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha10_all_seed0.jsonl
naturalbench	baseline	1	0.000000	baseline	True	0.765000	0.560000	0.565000	0.270000	0.125603		runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_baseline_seed1.jsonl
naturalbench	alpha0p05_last25	1	0.050000	last25	False	0.765000	0.560000	0.565000	0.270000	0.127309	0.206262	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha0p05_last25_seed1.jsonl
naturalbench	alpha0p05_last50	1	0.050000	last50	False	0.765000	0.560000	0.565000	0.270000	0.128193	0.174066	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha0p05_last50_seed1.jsonl
naturalbench	alpha0p05_all	1	0.050000	all	False	0.765000	0.560000	0.565000	0.270000	0.129634	0.129634	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha0p05_all_seed1.jsonl
naturalbench	alpha0p1_last25	1	0.100000	last25	False	0.767500	0.565000	0.570000	0.290000	0.128944	0.212339	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha0p1_last25_seed1.jsonl
naturalbench	alpha0p1_last50	1	0.100000	last50	False	0.765000	0.560000	0.565000	0.280000	0.130813	0.179185	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha0p1_last50_seed1.jsonl
naturalbench	alpha0p1_all	1	0.100000	all	False	0.765000	0.560000	0.565000	0.280000	0.133519	0.133519	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha0p1_all_seed1.jsonl
naturalbench	alpha0p25_last25	1	0.250000	last25	False	0.770000	0.570000	0.575000	0.290000	0.134520	0.232748	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha0p25_last25_seed1.jsonl
naturalbench	alpha0p25_last50	1	0.250000	last50	False	0.767500	0.565000	0.570000	0.290000	0.139137	0.195817	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha0p25_last50_seed1.jsonl
naturalbench	alpha0p25_all	1	0.250000	all	False	0.767500	0.565000	0.570000	0.290000	0.146387	0.146387	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha0p25_all_seed1.jsonl
naturalbench	alpha0p5_last25	1	0.500000	last25	False	0.767500	0.570000	0.575000	0.290000	0.144119	0.268333	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha0p5_last25_seed1.jsonl
naturalbench	alpha0p5_last50	1	0.500000	last50	False	0.767500	0.570000	0.575000	0.300000	0.153961	0.225366	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha0p5_last50_seed1.jsonl
naturalbench	alpha0p5_all	1	0.500000	all	False	0.767500	0.565000	0.575000	0.290000	0.169207	0.169207	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha0p5_all_seed1.jsonl
naturalbench	alpha1_last25	1	1.000000	last25	False	0.772500	0.580000	0.585000	0.300000	0.165667	0.347730	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha1_last25_seed1.jsonl
naturalbench	alpha1_last50	1	1.000000	last50	False	0.770000	0.575000	0.580000	0.300000	0.186741	0.290762	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha1_last50_seed1.jsonl
naturalbench	alpha1_all	1	1.000000	all	False	0.772500	0.580000	0.585000	0.290000	0.220601	0.220601	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha1_all_seed1.jsonl
naturalbench	alpha2_last25	1	2.000000	last25	False	0.770000	0.580000	0.580000	0.300000	0.213911	0.526176	runs/paligemma2_attention_alpha_sweep/naturalbench/paligemma2_3b_attention_alpha2_last25_seed1.jsonl
