condition	group	n	accuracy	bias_aligned_fraction	bias_aligned_error_rate	error_rate
Direct image	Reference	400	0.1425	0.395	0.4606413994169096	0.8575
Direct no-image	Reference	400	0.12	0.295	0.3352272727272727	0.88
Basic 2-pass image	Reference	400	0.1725	0.38	0.459214501510574	0.8275
Basic 2-pass desc-only	Reference	400	0.1875	0.15	0.18461538461538463	0.8125
neutral image again	Prompt variants	400	0.125000	0.432500	0.494286	0.875000
neutral description only	Prompt variants	400	0.125000	0.427500	0.488571	0.875000
counterfactual image again	Prompt variants	400	0.125000	0.430000	0.491429	0.875000
counterfactual description only	Prompt variants	400	0.122500	0.437500	0.498575	0.877500
structured image again	Prompt variants	400	0.107500	0.427500	0.478992	0.892500
structured description only	Prompt variants	400	0.120000	0.412500	0.468750	0.880000
verification image again	Prompt variants	400	0.142500	0.430000	0.501458	0.857500
verification description only	Prompt variants	400	0.130000	0.420000	0.482759	0.870000
