condition	attention_alpha	layer_selection	seeds	runs	Acc_mean	Acc_std	Q_Acc_mean	Q_Acc_std	I_Acc_mean	I_Acc_std	G_Acc_mean	G_Acc_std	mean_image_attention_mass_mean	mean_image_attention_mass_std	mean_boosted_layer_image_attention_mass_mean	mean_boosted_layer_image_attention_mass_std
alpha0p05_all	0.050000	all	0	1	0.550000	0.000000	0.280000	0.000000	0.125000	0.000000	0.010000	0.000000	0.072619	0.000000	0.072619	0.000000
alpha0p05_last25	0.050000	last25	0	1	0.542500	0.000000	0.275000	0.000000	0.115000	0.000000	0.010000	0.000000	0.071093	0.000000	0.107985	0.000000
alpha0p05_last50	0.050000	last50	0	1	0.545000	0.000000	0.280000	0.000000	0.115000	0.000000	0.010000	0.000000	0.071538	0.000000	0.081354	0.000000
alpha0p1_all	0.100000	all	0	1	0.550000	0.000000	0.280000	0.000000	0.125000	0.000000	0.010000	0.000000	0.075001	0.000000	0.075001	0.000000
alpha0p1_last25	0.100000	last25	0	1	0.545000	0.000000	0.275000	0.000000	0.120000	0.000000	0.010000	0.000000	0.072021	0.000000	0.111769	0.000000
alpha0p1_last50	0.100000	last50	0	1	0.550000	0.000000	0.280000	0.000000	0.125000	0.000000	0.010000	0.000000	0.073202	0.000000	0.084707	0.000000
alpha0p25_all	0.250000	all	0	1	0.557500	0.000000	0.295000	0.000000	0.140000	0.000000	0.020000	0.000000	0.082449	0.000000	0.082449	0.000000
alpha0p25_last25	0.250000	last25	0	1	0.547500	0.000000	0.280000	0.000000	0.125000	0.000000	0.020000	0.000000	0.074967	0.000000	0.123568	0.000000
alpha0p25_last50	0.250000	last50	0	1	0.547500	0.000000	0.275000	0.000000	0.125000	0.000000	0.010000	0.000000	0.077692	0.000000	0.093703	0.000000
alpha0p5_all	0.500000	all	0	1	0.552500	0.000000	0.285000	0.000000	0.135000	0.000000	0.020000	0.000000	0.096319	0.000000	0.096319	0.000000
alpha0p5_last25	0.500000	last25	0	1	0.550000	0.000000	0.280000	0.000000	0.135000	0.000000	0.010000	0.000000	0.080571	0.000000	0.145948	0.000000
alpha0p5_last50	0.500000	last50	0	1	0.550000	0.000000	0.280000	0.000000	0.135000	0.000000	0.010000	0.000000	0.086510	0.000000	0.111329	0.000000
alpha1_all	1.000000	all	0	1	0.552500	0.000000	0.290000	0.000000	0.150000	0.000000	0.020000	0.000000	0.128562	0.000000	0.128562	0.000000
alpha1_last25	1.000000	last25	0	1	0.542500	0.000000	0.280000	0.000000	0.130000	0.000000	0.010000	0.000000	0.093745	0.000000	0.198741	0.000000
alpha1_last50	1.000000	last50	0	1	0.557500	0.000000	0.295000	0.000000	0.165000	0.000000	0.020000	0.000000	0.107700	0.000000	0.153727	0.000000
alpha2_all	2.000000	all	0	1	0.565000	0.000000	0.335000	0.000000	0.210000	0.000000	0.050000	0.000000	0.209345	0.000000	0.209345	0.000000
alpha2_last25	2.000000	last25	0	1	0.555000	0.000000	0.335000	0.000000	0.175000	0.000000	0.050000	0.000000	0.127559	0.000000	0.334490	0.000000
alpha2_last50	2.000000	last50	0	1	0.560000	0.000000	0.335000	0.000000	0.180000	0.000000	0.020000	0.000000	0.163897	0.000000	0.266317	0.000000
alpha3_all	3.000000	all	0	1	0.575000	0.000000	0.355000	0.000000	0.190000	0.000000	0.030000	0.000000	0.306117	0.000000	0.306117	0.000000
alpha3_last25	3.000000	last25	0	1	0.570000	0.000000	0.390000	0.000000	0.190000	0.000000	0.070000	0.000000	0.167358	0.000000	0.494422	0.000000
alpha3_last50	3.000000	last50	0	1	0.565000	0.000000	0.365000	0.000000	0.175000	0.000000	0.030000	0.000000	0.234494	0.000000	0.407713	0.000000
baseline	0.000000	baseline	0	1	0.547500	0.000000	0.280000	0.000000	0.115000	0.000000	0.010000	0.000000	0.070083	0.000000		
