benchmark	condition	seed	attention_alpha	layer_selection	is_baseline	Acc	Q_Acc	I_Acc	G_Acc	mean_image_attention_mass	mean_boosted_layer_image_attention_mass	out_path
naturalbench	baseline	0	0.000000	baseline	True	0.547500	0.280000	0.115000	0.010000	0.070083		runs/attention_alpha_sweep/naturalbench/qwen25vl_3b_attention_baseline_seed0.jsonl
naturalbench	alpha0p05_last25	0	0.050000	last25	False	0.542500	0.275000	0.115000	0.010000	0.071093	0.107985	runs/attention_alpha_sweep/naturalbench/qwen25vl_3b_attention_alpha0p05_last25_seed0.jsonl
naturalbench	alpha0p05_last50	0	0.050000	last50	False	0.545000	0.280000	0.115000	0.010000	0.071538	0.081354	runs/attention_alpha_sweep/naturalbench/qwen25vl_3b_attention_alpha0p05_last50_seed0.jsonl
naturalbench	alpha0p05_all	0	0.050000	all	False	0.550000	0.280000	0.125000	0.010000	0.072619	0.072619	runs/attention_alpha_sweep/naturalbench/qwen25vl_3b_attention_alpha0p05_all_seed0.jsonl
naturalbench	alpha0p1_last25	0	0.100000	last25	False	0.545000	0.275000	0.120000	0.010000	0.072021	0.111769	runs/attention_alpha_sweep/naturalbench/qwen25vl_3b_attention_alpha0p1_last25_seed0.jsonl
naturalbench	alpha0p1_last50	0	0.100000	last50	False	0.550000	0.280000	0.125000	0.010000	0.073202	0.084707	runs/attention_alpha_sweep/naturalbench/qwen25vl_3b_attention_alpha0p1_last50_seed0.jsonl
naturalbench	alpha0p1_all	0	0.100000	all	False	0.550000	0.280000	0.125000	0.010000	0.075001	0.075001	runs/attention_alpha_sweep/naturalbench/qwen25vl_3b_attention_alpha0p1_all_seed0.jsonl
naturalbench	alpha0p25_last25	0	0.250000	last25	False	0.547500	0.280000	0.125000	0.020000	0.074967	0.123568	runs/attention_alpha_sweep/naturalbench/qwen25vl_3b_attention_alpha0p25_last25_seed0.jsonl
naturalbench	alpha0p25_last50	0	0.250000	last50	False	0.547500	0.275000	0.125000	0.010000	0.077692	0.093703	runs/attention_alpha_sweep/naturalbench/qwen25vl_3b_attention_alpha0p25_last50_seed0.jsonl
naturalbench	alpha0p25_all	0	0.250000	all	False	0.557500	0.295000	0.140000	0.020000	0.082449	0.082449	runs/attention_alpha_sweep/naturalbench/qwen25vl_3b_attention_alpha0p25_all_seed0.jsonl
naturalbench	alpha0p5_last25	0	0.500000	last25	False	0.550000	0.280000	0.135000	0.010000	0.080571	0.145948	runs/attention_alpha_sweep/naturalbench/qwen25vl_3b_attention_alpha0p5_last25_seed0.jsonl
naturalbench	alpha0p5_last50	0	0.500000	last50	False	0.550000	0.280000	0.135000	0.010000	0.086510	0.111329	runs/attention_alpha_sweep/naturalbench/qwen25vl_3b_attention_alpha0p5_last50_seed0.jsonl
naturalbench	alpha0p5_all	0	0.500000	all	False	0.552500	0.285000	0.135000	0.020000	0.096319	0.096319	runs/attention_alpha_sweep/naturalbench/qwen25vl_3b_attention_alpha0p5_all_seed0.jsonl
naturalbench	alpha1_last25	0	1.000000	last25	False	0.542500	0.280000	0.130000	0.010000	0.093745	0.198741	runs/attention_alpha_sweep/naturalbench/qwen25vl_3b_attention_alpha1_last25_seed0.jsonl
naturalbench	alpha1_last50	0	1.000000	last50	False	0.557500	0.295000	0.165000	0.020000	0.107700	0.153727	runs/attention_alpha_sweep/naturalbench/qwen25vl_3b_attention_alpha1_last50_seed0.jsonl
naturalbench	alpha1_all	0	1.000000	all	False	0.552500	0.290000	0.150000	0.020000	0.128562	0.128562	runs/attention_alpha_sweep/naturalbench/qwen25vl_3b_attention_alpha1_all_seed0.jsonl
naturalbench	alpha2_last25	0	2.000000	last25	False	0.555000	0.335000	0.175000	0.050000	0.127559	0.334490	runs/attention_alpha_sweep/naturalbench/qwen25vl_3b_attention_alpha2_last25_seed0.jsonl
naturalbench	alpha2_last50	0	2.000000	last50	False	0.560000	0.335000	0.180000	0.020000	0.163897	0.266317	runs/attention_alpha_sweep/naturalbench/qwen25vl_3b_attention_alpha2_last50_seed0.jsonl
naturalbench	alpha2_all	0	2.000000	all	False	0.565000	0.335000	0.210000	0.050000	0.209345	0.209345	runs/attention_alpha_sweep/naturalbench/qwen25vl_3b_attention_alpha2_all_seed0.jsonl
naturalbench	alpha3_last25	0	3.000000	last25	False	0.570000	0.390000	0.190000	0.070000	0.167358	0.494422	runs/attention_alpha_sweep/naturalbench/qwen25vl_3b_attention_alpha3_last25_seed0.jsonl
naturalbench	alpha3_last50	0	3.000000	last50	False	0.565000	0.365000	0.175000	0.030000	0.234494	0.407713	runs/attention_alpha_sweep/naturalbench/qwen25vl_3b_attention_alpha3_last50_seed0.jsonl
naturalbench	alpha3_all	0	3.000000	all	False	0.575000	0.355000	0.190000	0.030000	0.306117	0.306117	runs/attention_alpha_sweep/naturalbench/qwen25vl_3b_attention_alpha3_all_seed0.jsonl
