condition	attention_alpha	layer_selection	seeds	runs	accuracy_mean	accuracy_std	bias_aligned_fraction_mean	bias_aligned_fraction_std	bias_aligned_error_rate_mean	bias_aligned_error_rate_std	error_rate_mean	error_rate_std	mean_image_attention_mass_mean	mean_image_attention_mass_std	mean_boosted_layer_image_attention_mass_mean	mean_boosted_layer_image_attention_mass_std
alpha0p05_all	0.050000	all	0	1	0.120000	0.000000	0.227500	0.000000	0.258523	0.000000	0.880000	0.000000	0.095709	0.000000	0.095709	0.000000
alpha0p05_last25	0.050000	last25	0	1	0.122500	0.000000	0.220000	0.000000	0.250712	0.000000	0.877500	0.000000	0.093896	0.000000	0.145211	0.000000
alpha0p05_last50	0.050000	last50	0	1	0.115000	0.000000	0.220000	0.000000	0.248588	0.000000	0.885000	0.000000	0.094499	0.000000	0.110453	0.000000
alpha0p1_all	0.100000	all	0	1	0.122500	0.000000	0.222500	0.000000	0.253561	0.000000	0.877500	0.000000	0.098472	0.000000	0.098472	0.000000
alpha0p1_last25	0.100000	last25	0	1	0.117500	0.000000	0.222500	0.000000	0.252125	0.000000	0.882500	0.000000	0.094954	0.000000	0.149204	0.000000
alpha0p1_last50	0.100000	last50	0	1	0.125000	0.000000	0.215000	0.000000	0.245714	0.000000	0.875000	0.000000	0.096590	0.000000	0.114526	0.000000
alpha0p25_all	0.250000	all	0	1	0.117500	0.000000	0.232500	0.000000	0.263456	0.000000	0.882500	0.000000	0.107226	0.000000	0.107226	0.000000
alpha0p25_last25	0.250000	last25	0	1	0.120000	0.000000	0.217500	0.000000	0.247159	0.000000	0.880000	0.000000	0.098420	0.000000	0.163132	0.000000
alpha0p25_last50	0.250000	last50	0	1	0.122500	0.000000	0.222500	0.000000	0.253561	0.000000	0.877500	0.000000	0.101948	0.000000	0.125358	0.000000
alpha0p5_all	0.500000	all	0	1	0.115000	0.000000	0.232500	0.000000	0.262712	0.000000	0.885000	0.000000	0.123493	0.000000	0.123493	0.000000
alpha0p5_last25	0.500000	last25	0	1	0.125000	0.000000	0.225000	0.000000	0.257143	0.000000	0.875000	0.000000	0.104667	0.000000	0.188429	0.000000
alpha0p5_last50	0.500000	last50	0	1	0.130000	0.000000	0.230000	0.000000	0.264368	0.000000	0.870000	0.000000	0.112438	0.000000	0.146494	0.000000
alpha1_all	1.000000	all	0	1	0.112500	0.000000	0.257500	0.000000	0.290141	0.000000	0.887500	0.000000	0.160477	0.000000	0.160477	0.000000
alpha1_last25	1.000000	last25	0	1	0.127500	0.000000	0.230000	0.000000	0.263610	0.000000	0.872500	0.000000	0.119197	0.000000	0.245755	0.000000
alpha1_last50	1.000000	last50	0	1	0.125000	0.000000	0.235000	0.000000	0.268571	0.000000	0.875000	0.000000	0.136740	0.000000	0.195158	0.000000
alpha2_all	2.000000	all	0	1	0.130000	0.000000	0.262500	0.000000	0.301724	0.000000	0.870000	0.000000	0.248394	0.000000	0.248394	0.000000
alpha2_last25	2.000000	last25	0	1	0.120000	0.000000	0.245000	0.000000	0.278409	0.000000	0.880000	0.000000	0.154213	0.000000	0.384417	0.000000
alpha2_last50	2.000000	last50	0	1	0.120000	0.000000	0.252500	0.000000	0.286932	0.000000	0.880000	0.000000	0.200199	0.000000	0.321801	0.000000
alpha3_all	3.000000	all	0	1	0.125000	0.000000	0.255000	0.000000	0.291429	0.000000	0.875000	0.000000	0.350922	0.000000	0.350922	0.000000
alpha3_last25	3.000000	last25	0	1	0.120000	0.000000	0.245000	0.000000	0.278409	0.000000	0.880000	0.000000	0.194157	0.000000	0.540372	0.000000
alpha3_last50	3.000000	last50	0	1	0.107500	0.000000	0.270000	0.000000	0.302521	0.000000	0.892500	0.000000	0.275865	0.000000	0.473321	0.000000
baseline	0.000000	baseline	0	1	0.120000	0.000000	0.215000	0.000000	0.244318	0.000000	0.880000	0.000000	0.092818	0.000000		
