benchmark	condition	seed	attention_alpha	layer_selection	is_baseline	accuracy	bias_aligned_fraction	bias_aligned_error_rate	error_rate	mean_image_attention_mass	mean_boosted_layer_image_attention_mass	out_path
vlmbias	baseline	0	0.000000	baseline	True	0.120000	0.215000	0.244318	0.880000	0.092818		runs/attention_alpha_sweep/vlmbias/qwen25vl_3b_attention_baseline_seed0.jsonl
vlmbias	alpha0p05_last25	0	0.050000	last25	False	0.122500	0.220000	0.250712	0.877500	0.093896	0.145211	runs/attention_alpha_sweep/vlmbias/qwen25vl_3b_attention_alpha0p05_last25_seed0.jsonl
vlmbias	alpha0p05_last50	0	0.050000	last50	False	0.115000	0.220000	0.248588	0.885000	0.094499	0.110453	runs/attention_alpha_sweep/vlmbias/qwen25vl_3b_attention_alpha0p05_last50_seed0.jsonl
vlmbias	alpha0p05_all	0	0.050000	all	False	0.120000	0.227500	0.258523	0.880000	0.095709	0.095709	runs/attention_alpha_sweep/vlmbias/qwen25vl_3b_attention_alpha0p05_all_seed0.jsonl
vlmbias	alpha0p1_last25	0	0.100000	last25	False	0.117500	0.222500	0.252125	0.882500	0.094954	0.149204	runs/attention_alpha_sweep/vlmbias/qwen25vl_3b_attention_alpha0p1_last25_seed0.jsonl
vlmbias	alpha0p1_last50	0	0.100000	last50	False	0.125000	0.215000	0.245714	0.875000	0.096590	0.114526	runs/attention_alpha_sweep/vlmbias/qwen25vl_3b_attention_alpha0p1_last50_seed0.jsonl
vlmbias	alpha0p1_all	0	0.100000	all	False	0.122500	0.222500	0.253561	0.877500	0.098472	0.098472	runs/attention_alpha_sweep/vlmbias/qwen25vl_3b_attention_alpha0p1_all_seed0.jsonl
vlmbias	alpha0p25_last25	0	0.250000	last25	False	0.120000	0.217500	0.247159	0.880000	0.098420	0.163132	runs/attention_alpha_sweep/vlmbias/qwen25vl_3b_attention_alpha0p25_last25_seed0.jsonl
vlmbias	alpha0p25_last50	0	0.250000	last50	False	0.122500	0.222500	0.253561	0.877500	0.101948	0.125358	runs/attention_alpha_sweep/vlmbias/qwen25vl_3b_attention_alpha0p25_last50_seed0.jsonl
vlmbias	alpha0p25_all	0	0.250000	all	False	0.117500	0.232500	0.263456	0.882500	0.107226	0.107226	runs/attention_alpha_sweep/vlmbias/qwen25vl_3b_attention_alpha0p25_all_seed0.jsonl
vlmbias	alpha0p5_last25	0	0.500000	last25	False	0.125000	0.225000	0.257143	0.875000	0.104667	0.188429	runs/attention_alpha_sweep/vlmbias/qwen25vl_3b_attention_alpha0p5_last25_seed0.jsonl
vlmbias	alpha0p5_last50	0	0.500000	last50	False	0.130000	0.230000	0.264368	0.870000	0.112438	0.146494	runs/attention_alpha_sweep/vlmbias/qwen25vl_3b_attention_alpha0p5_last50_seed0.jsonl
vlmbias	alpha0p5_all	0	0.500000	all	False	0.115000	0.232500	0.262712	0.885000	0.123493	0.123493	runs/attention_alpha_sweep/vlmbias/qwen25vl_3b_attention_alpha0p5_all_seed0.jsonl
vlmbias	alpha1_last25	0	1.000000	last25	False	0.127500	0.230000	0.263610	0.872500	0.119197	0.245755	runs/attention_alpha_sweep/vlmbias/qwen25vl_3b_attention_alpha1_last25_seed0.jsonl
vlmbias	alpha1_last50	0	1.000000	last50	False	0.125000	0.235000	0.268571	0.875000	0.136740	0.195158	runs/attention_alpha_sweep/vlmbias/qwen25vl_3b_attention_alpha1_last50_seed0.jsonl
vlmbias	alpha1_all	0	1.000000	all	False	0.112500	0.257500	0.290141	0.887500	0.160477	0.160477	runs/attention_alpha_sweep/vlmbias/qwen25vl_3b_attention_alpha1_all_seed0.jsonl
vlmbias	alpha2_last25	0	2.000000	last25	False	0.120000	0.245000	0.278409	0.880000	0.154213	0.384417	runs/attention_alpha_sweep/vlmbias/qwen25vl_3b_attention_alpha2_last25_seed0.jsonl
vlmbias	alpha2_last50	0	2.000000	last50	False	0.120000	0.252500	0.286932	0.880000	0.200199	0.321801	runs/attention_alpha_sweep/vlmbias/qwen25vl_3b_attention_alpha2_last50_seed0.jsonl
vlmbias	alpha2_all	0	2.000000	all	False	0.130000	0.262500	0.301724	0.870000	0.248394	0.248394	runs/attention_alpha_sweep/vlmbias/qwen25vl_3b_attention_alpha2_all_seed0.jsonl
vlmbias	alpha3_last25	0	3.000000	last25	False	0.120000	0.245000	0.278409	0.880000	0.194157	0.540372	runs/attention_alpha_sweep/vlmbias/qwen25vl_3b_attention_alpha3_last25_seed0.jsonl
vlmbias	alpha3_last50	0	3.000000	last50	False	0.107500	0.270000	0.302521	0.892500	0.275865	0.473321	runs/attention_alpha_sweep/vlmbias/qwen25vl_3b_attention_alpha3_last50_seed0.jsonl
vlmbias	alpha3_all	0	3.000000	all	False	0.125000	0.255000	0.291429	0.875000	0.350922	0.350922	runs/attention_alpha_sweep/vlmbias/qwen25vl_3b_attention_alpha3_all_seed0.jsonl
