condition	attention_alpha	layer_selection	seeds	runs	Acc_mean	Acc_std	Q_Acc_mean	Q_Acc_std	I_Acc_mean	I_Acc_std	G_Acc_mean	G_Acc_std	mean_image_attention_mass_mean	mean_image_attention_mass_std	mean_boosted_layer_image_attention_mass_mean	mean_boosted_layer_image_attention_mass_std
alpha0p05_all	0.050000	all	0,1,2,3,4,5,6,7,8,9	10	0.731000	0.043015	0.513000	0.069250	0.527000	0.060791	0.241000	0.062619	0.129594	0.000290	0.129594	0.000290
alpha0p05_last25	0.050000	last25	0,1,2,3,4,5,6,7,8,9	10	0.729750	0.042711	0.510500	0.068331	0.524000	0.060360	0.238000	0.061246	0.127273	0.000265	0.206304	0.000497
alpha0p05_last50	0.050000	last50	0,1,2,3,4,5,6,7,8,9	10	0.730000	0.041932	0.511000	0.067487	0.525000	0.059628	0.239000	0.061905	0.128179	0.000258	0.174111	0.000397
alpha0p1_all	0.100000	all	0,1,2,3,4,5,6,7,8,9	10	0.729750	0.043051	0.511500	0.068761	0.524500	0.060894	0.241000	0.063675	0.133492	0.000267	0.133492	0.000267
alpha0p1_last25	0.100000	last25	0,1,2,3,4,5,6,7,8,9	10	0.730500	0.042652	0.513000	0.068362	0.526000	0.059712	0.243000	0.062725	0.128935	0.000273	0.212420	0.000539
alpha0p1_last50	0.100000	last50	0,1,2,3,4,5,6,7,8,9	10	0.729500	0.042603	0.511000	0.067897	0.523500	0.059910	0.241000	0.061905	0.130734	0.000260	0.179177	0.000423
alpha0p25_all	0.250000	all	0,1,2,3,4,5,6,7,8,9	10	0.732500	0.042622	0.515500	0.068046	0.529500	0.060803	0.242000	0.061065	0.146341	0.000222	0.146341	0.000222
alpha0p25_last25	0.250000	last25	0,1,2,3,4,5,6,7,8,9	10	0.732000	0.044532	0.514000	0.071016	0.528000	0.063997	0.245000	0.062761	0.134457	0.000276	0.232750	0.000560
alpha0p25_last50	0.250000	last50	0,1,2,3,4,5,6,7,8,9	10	0.731250	0.044601	0.513000	0.071422	0.526000	0.064412	0.244000	0.066366	0.139094	0.000279	0.195868	0.000429
alpha0p5_all	0.500000	all	0,1,2,3,4,5,6,7,8,9	10	0.731250	0.042332	0.513000	0.068727	0.527000	0.062769	0.241000	0.063325	0.169119	0.000299	0.169119	0.000299
