condition	attention_alpha	layer_selection	seeds	runs	accuracy_mean	accuracy_std	bias_aligned_fraction_mean	bias_aligned_fraction_std	bias_aligned_error_rate_mean	bias_aligned_error_rate_std	error_rate_mean	error_rate_std	mean_image_attention_mass_mean	mean_image_attention_mass_std	mean_boosted_layer_image_attention_mass_mean	mean_boosted_layer_image_attention_mass_std
alpha0p05_all	0.050000	all	0,1,2,3,4,5,6,7,8,9	10	0.140750	0.009283	0.266750	0.016247	0.310365	0.017117	0.859250	0.009283	0.169834	0.000610	0.169834	0.000610
alpha0p05_last25	0.050000	last25	0,1,2,3,4,5,6,7,8,9	10	0.140750	0.009432	0.268500	0.014395	0.312407	0.014798	0.859250	0.009432	0.167230	0.000703	0.221926	0.000714
alpha0p05_last50	0.050000	last50	0,1,2,3,4,5,6,7,8,9	10	0.140750	0.009133	0.268750	0.013957	0.312711	0.014538	0.859250	0.009133	0.168236	0.000791	0.213164	0.000792
alpha0p1_all	0.100000	all	0,1,2,3,4,5,6,7,8,9	10	0.140000	0.010206	0.271000	0.014870	0.315051	0.015578	0.860000	0.010206	0.174187	0.000644	0.174187	0.000644
alpha0p1_last25	0.100000	last25	0,1,2,3,4,5,6,7,8,9	10	0.141250	0.010358	0.270750	0.014194	0.315216	0.014570	0.858750	0.010358	0.168806	0.000794	0.227804	0.000836
alpha0p1_last50	0.100000	last50	0,1,2,3,4,5,6,7,8,9	10	0.141000	0.010220	0.272500	0.013642	0.317181	0.014369	0.859000	0.010220	0.171044	0.000765	0.218678	0.000823
alpha0p25_all	0.250000	all	0,1,2,3,4,5,6,7,8,9	10	0.140500	0.009413	0.277250	0.016391	0.322507	0.017616	0.859500	0.009413	0.188279	0.000602	0.188279	0.000602
alpha0p25_last25	0.250000	last25	0,1,2,3,4,5,6,7,8,9	10	0.141500	0.010685	0.275250	0.015205	0.320559	0.016120	0.858500	0.010685	0.174380	0.000748	0.247783	0.000830
alpha0p25_last50	0.250000	last50	0,1,2,3,4,5,6,7,8,9	10	0.140750	0.010073	0.277000	0.014279	0.322334	0.015361	0.859250	0.010073	0.180118	0.000829	0.236613	0.000835
alpha0p5_all	0.500000	all	0,1,2,3,4,5,6,7,8,9	10	0.138750	0.008015	0.282750	0.018275	0.328210	0.019525	0.861250	0.008015	0.212813	0.000398	0.212813	0.000398
alpha0p5_last25	0.500000	last25	0,1,2,3,4,5,6,7,8,9	10	0.141500	0.011255	0.281500	0.016550	0.327813	0.017202	0.858500	0.011255	0.183914	0.000779	0.282406	0.000876
alpha0p5_last50	0.500000	last50	0,1,2,3,4,5,6,7,8,9	10	0.139500	0.008882	0.283500	0.018189	0.329384	0.019607	0.860500	0.008882	0.195675	0.000690	0.267588	0.000699
alpha10_all	10.000000	all	0,1,2,3,4,5,6,7,8,9	10	0.007500	0.003333	0.028250	0.005898	0.028456	0.005898	0.992500	0.003333	0.994374	0.000101	0.994374	0.000101
