benchmark	condition	seed	attention_alpha	layer_selection	is_baseline	accuracy	bias_aligned_fraction	bias_aligned_error_rate	error_rate	mean_image_attention_mass	mean_boosted_layer_image_attention_mass	out_path
vlmbias	baseline	0	0.000000	baseline	True	0.132500	0.267500	0.308357	0.867500	0.165874		runs/paligemma2_attention_alpha_sweep/vlmbias/paligemma2_3b_attention_baseline_seed0.jsonl
vlmbias	alpha0p05_last25	0	0.050000	last25	False	0.132500	0.272500	0.314121	0.867500	0.167724	0.222602	runs/paligemma2_attention_alpha_sweep/vlmbias/paligemma2_3b_attention_alpha0p05_last25_seed0.jsonl
vlmbias	alpha0p05_last50	0	0.050000	last50	False	0.132500	0.267500	0.308357	0.867500	0.168628	0.213836	runs/paligemma2_attention_alpha_sweep/vlmbias/paligemma2_3b_attention_alpha0p05_last50_seed0.jsonl
vlmbias	alpha0p05_all	0	0.050000	all	False	0.135000	0.267500	0.309249	0.865000	0.170227	0.170227	runs/paligemma2_attention_alpha_sweep/vlmbias/paligemma2_3b_attention_alpha0p05_all_seed0.jsonl
vlmbias	alpha0p1_last25	0	0.100000	last25	False	0.135000	0.272500	0.315029	0.865000	0.169148	0.228304	runs/paligemma2_attention_alpha_sweep/vlmbias/paligemma2_3b_attention_alpha0p1_last25_seed0.jsonl
vlmbias	alpha0p1_last50	0	0.100000	last50	False	0.135000	0.272500	0.315029	0.865000	0.171527	0.219401	runs/paligemma2_attention_alpha_sweep/vlmbias/paligemma2_3b_attention_alpha0p1_last50_seed0.jsonl
vlmbias	alpha0p1_all	0	0.100000	all	False	0.132500	0.270000	0.311239	0.867500	0.174776	0.174776	runs/paligemma2_attention_alpha_sweep/vlmbias/paligemma2_3b_attention_alpha0p1_all_seed0.jsonl
vlmbias	alpha0p25_last25	0	0.250000	last25	False	0.135000	0.272500	0.315029	0.865000	0.174885	0.248439	runs/paligemma2_attention_alpha_sweep/vlmbias/paligemma2_3b_attention_alpha0p25_last25_seed0.jsonl
vlmbias	alpha0p25_last50	0	0.250000	last50	False	0.135000	0.272500	0.315029	0.865000	0.180437	0.237177	runs/paligemma2_attention_alpha_sweep/vlmbias/paligemma2_3b_attention_alpha0p25_last50_seed0.jsonl
vlmbias	alpha0p25_all	0	0.250000	all	False	0.137500	0.265000	0.307246	0.862500	0.188765	0.188765	runs/paligemma2_attention_alpha_sweep/vlmbias/paligemma2_3b_attention_alpha0p25_all_seed0.jsonl
