head	layer	head_index	final_rank	final_score	mean_batch_rank	median_batch_rank	top5_batches	top10_batches	top20_batches	top50_batches	n_batches
L5H10	5	10	1	0.15826270976224138	1.0	1.0	10	10	10	10	10
L0H14	0	14	2	0.09655502825913331	2.5	2.0	10	10	10	10	10
L33H14	33	14	3	0.0964275575261563	2.7	3.0	10	10	10	10	10
L10H12	10	12	4	0.09317892970734586	4.0	4.0	10	10	10	10	10
L12H10	12	10	5	0.08932692130156404	5.3	5.0	8	10	10	10	10
L32H9	32	9	6	0.0886015260486553	5.6	6.0	2	10	10	10	10
L32H6	32	6	7	0.08199834416348797	7.2	7.0	0	10	10	10	10
L33H2	33	2	8	0.08135703503930321	7.9	8.0	0	10	10	10	10
L33H0	33	0	9	0.07819740945566446	9.8	10.0	0	8	10	10	10
L11H1	11	1	10	0.07783223736767347	9.7	9.0	0	8	10	10	10
L33H1	33	1	11	0.07614815670833923	11.0	11.0	0	2	10	10	10
L2H1	2	1	12	0.07354094167674581	13.1	12.0	0	1	9	10	10
L32H0	32	0	13	0.07324972344170479	13.0	13.0	0	0	10	10	10
L32H10	32	10	14	0.07192405841623745	13.7	14.0	0	1	10	10	10
L33H4	33	4	15	0.06918561444928249	16.1	16.5	0	0	10	10	10
L33H11	33	11	16	0.06863502330829699	16.9	16.5	0	0	10	10	10
L32H14	32	14	17	0.06823241442954169	17.1	17.5	0	0	10	10	10
L11H3	11	3	18	0.06712166120360295	17.4	17.5	0	0	9	10	10
L9H13	9	13	19	0.06659228512629245	18.1	17.5	0	0	9	10	10
L33H9	33	9	20	0.06319556576991454	19.8	20.0	0	0	9	10	10
