head	layer	head_index	final_rank	final_score	mean_batch_rank	median_batch_rank	top5_batches	top10_batches	top20_batches	top50_batches	n_batches
L24H29	24	29	1	0.22967434265138578	1.0	1.0	10	10	10	10	10
L25H30	25	30	2	0.17674442423259218	2.4	2.0	10	10	10	10	10
L26H26	26	26	3	0.17539169190389414	2.7	3.0	10	10	10	10	10
L26H31	26	31	4	0.16624418141460048	3.9	4.0	10	10	10	10	10
L24H31	24	31	5	0.15245615373303492	5.4	5.0	6	10	10	10	10
L25H10	25	10	6	0.14859562086639924	6.5	6.0	3	10	10	10	10
L34H0	34	0	7	0.14120270276271427	8.0	8.0	1	9	10	10	10
L32H0	32	0	8	0.14032023534364998	8.5	8.0	0	8	10	10	10
L7H6	7	6	9	0.13832119064033033	9.2	9.0	0	8	10	10	10
L0H27	0	27	10	0.13828184048334757	8.9	10.0	0	8	10	10	10
L2H17	2	17	11	0.13435004775280443	11.5	11.0	0	3	10	10	10
L32H3	32	3	12	0.12842816780220406	13.0	13.5	0	1	10	10	10
L24H8	24	8	13	0.12783076602593063	13.2	12.0	0	0	10	10	10
L33H14	33	14	14	0.12530154015682637	14.9	15.5	0	0	10	10	10
L24H13	24	13	15	0.12524821065878497	14.9	16.5	0	3	10	10	10
L32H11	32	11	16	0.12380967510476087	15.6	15.5	0	0	10	10	10
L0H5	0	5	17	0.12245639308293661	15.8	16.0	0	0	10	10	10
L33H12	33	12	18	0.12138203279790467	16.7	16.5	0	0	10	10	10
L29H25	29	25	19	0.1178274539746344	18.9	18.5	0	0	8	10	10
L29H24	29	24	20	0.11440056403788428	20.2	20.0	0	0	7	10	10
