condition	attention_alpha	top_k_gaze	accuracy_mean	accuracy_mean_delta_vs_baseline	bias_aligned_fraction_mean	bias_aligned_fraction_mean_delta_vs_baseline	bias_aligned_error_rate_mean	bias_aligned_error_rate_mean_delta_vs_baseline	Acc_mean	Acc_mean_delta_vs_baseline	G_Acc_mean	G_Acc_mean_delta_vs_baseline
baseline	0.0	0	0.12149999999999998	0.0	0.23174999999999998	0.0	0.26377508062988186	0.0	0.5307499999999999	0.0	0.024999999999999998	0.0
gaze_top1_alpha0p25	0.25	1	0.12475	0.0032500000000000168	0.23224999999999998	0.0005000000000000004	0.2652981567554495	0.001523076125567624	0.5282500000000001	-0.0024999999999998357	0.025	3.469446951953614e-18
gaze_top1_alpha0p5	0.5	1	0.123	0.0015000000000000152	0.23325000000000004	0.0015000000000000568	0.2658788767305952	0.0021037961007133177	0.53225	0.0015000000000000568	0.022	-0.002999999999999999
gaze_top1_alpha1	1.0	1	0.12525	0.003750000000000017	0.23725000000000002	0.005500000000000033	0.2711823370315036	0.007407256401621709	0.53175	0.0010000000000000009	0.025	3.469446951953614e-18
gaze_top1_alpha2	2.0	1	0.12424999999999997	0.0027499999999999886	0.23750000000000004	0.005750000000000061	0.2711536688162079	0.007378588186326029	0.5297499999999999	-0.0010000000000000009	0.024	-0.0009999999999999974
gaze_top1_alpha5	5.0	1	0.12425	0.0027500000000000163	0.23900000000000002	0.007250000000000034	0.2728744562781298	0.00909937564824792	0.529	-0.0017499999999999183	0.024	-0.0009999999999999974
gaze_top1_alpha10	10.0	1	0.12274999999999998	0.0012500000000000011	0.23875000000000002	0.007000000000000034	0.27214371784587266	0.008368637215990793	0.532	0.0012500000000000844	0.026000000000000002	0.0010000000000000044
gaze_top5_alpha0p25	0.25	5	0.12325	0.0017500000000000154	0.23149999999999998	-0.0002500000000000002	0.26398112203112095	0.00020604140123908765	0.5275	-0.003249999999999975	0.025	3.469446951953614e-18
gaze_top5_alpha0p5	0.5	5	0.12425	0.0027500000000000163	0.23375000000000004	0.0020000000000000573	0.26692259274245267	0.003147512112570805	0.5319999999999999	0.0012499999999999734	0.024	-0.0009999999999999974
gaze_top5_alpha1	1.0	5	0.12399999999999997	0.0024999999999999883	0.23500000000000001	0.0032500000000000306	0.26829552383591154	0.004520443206029678	0.53075	1.1102230246251565e-16	0.023	-0.0019999999999999983
gaze_top5_alpha2	2.0	5	0.12350000000000001	0.0020000000000000295	0.24100000000000002	0.009250000000000036	0.27499758320635453	0.01122250257647267	0.5329999999999999	0.0022499999999999742	0.023	-0.0019999999999999983
gaze_top5_alpha5	5.0	5	0.12450000000000001	0.0030000000000000304	0.24225	0.01050000000000001	0.27666116708682476	0.012886086456942891	0.53325	0.0025000000000000577	0.023	-0.0019999999999999983
gaze_top5_alpha10	10.0	5	0.12425000000000001	0.00275000000000003	0.23900000000000002	0.007250000000000034	0.2729267363368991	0.009151655707017259	0.5282500000000001	-0.0024999999999998357	0.02	-0.0049999999999999975
gaze_top10_alpha0p25	0.25	10	0.127	0.005500000000000019	0.233	0.0012500000000000289	0.26684072976772566	0.0030656491378437956	0.5297499999999999	-0.0010000000000000009	0.024999999999999998	0.0
gaze_top10_alpha0p5	0.5	10	0.1255	0.004000000000000017	0.23700000000000002	0.005250000000000032	0.27096457947080604	0.00718949884092418	0.5345	0.003750000000000031	0.023999999999999997	-0.0010000000000000009
gaze_top10_alpha1	1.0	10	0.1285	0.00700000000000002	0.23550000000000004	0.003750000000000059	0.2702250974611645	0.006450016831282657	0.53325	0.0025000000000000577	0.023	-0.0019999999999999983
gaze_top10_alpha2	2.0	10	0.12675	0.0052500000000000185	0.24425	0.012500000000000011	0.27969245060512055	0.015917369975238682	0.5382499999999999	0.007499999999999951	0.027000000000000003	0.0020000000000000052
gaze_top10_alpha5	5.0	10	0.12825000000000003	0.006750000000000048	0.24174999999999996	0.009999999999999981	0.27725603243408176	0.013480951804199892	0.5349999999999999	0.004249999999999976	0.027000000000000003	0.0020000000000000052
gaze_top10_alpha10	10.0	10	0.12925	0.007750000000000021	0.23575	0.0040000000000000036	0.27070179818087453	0.006926717550992667	0.5342500000000001	0.0035000000000001696	0.022	-0.002999999999999999
gaze_top20_alpha0p25	0.25	20	0.125	0.003500000000000017	0.23275	0.0010000000000000286	0.2659580162404181	0.0021829356105362296	0.536	0.005250000000000088	0.026000000000000002	0.0010000000000000044
gaze_top20_alpha0p5	0.5	20	0.12374999999999999	0.002250000000000002	0.23725000000000002	0.005500000000000033	0.27070057271825326	0.006925492088371399	0.5322500000000001	0.0015000000000001679	0.024999999999999998	0.0
gaze_top20_alpha1	1.0	20	0.12774999999999997	0.006249999999999992	0.23625000000000002	0.004500000000000032	0.270903371787726	0.0071282911578441355	0.5339999999999999	0.003249999999999975	0.023	-0.0019999999999999983
gaze_top20_alpha2	2.0	20	0.131	0.009500000000000022	0.23725000000000002	0.005500000000000033	0.27301126747615606	0.009236186846274197	0.52975	-0.0009999999999998899	0.021	-0.003999999999999997
gaze_top20_alpha5	5.0	20	0.12200000000000003	0.0005000000000000421	0.22100000000000003	-0.010749999999999954	0.25169070410912336	-0.0120843765207585	0.5355000000000001	0.004750000000000143	0.030000000000000006	0.005000000000000008
gaze_top20_alpha10	10.0	20	0.12325	0.0017500000000000154	0.21400000000000002	-0.01774999999999996	0.24404831829862697	-0.019726762331254893	0.53625	0.00550000000000006	0.025	3.469446951953614e-18
