condition	attention_alpha	top_k_gaze	accuracy_mean	accuracy_mean_delta_vs_baseline	bias_aligned_fraction_mean	bias_aligned_fraction_mean_delta_vs_baseline	bias_aligned_error_rate_mean	bias_aligned_error_rate_mean_delta_vs_baseline	Acc_mean	Acc_mean_delta_vs_baseline	G_Acc_mean	G_Acc_mean_delta_vs_baseline
gaze_top20_alpha10	10.0	20	0.12325	0.0017500000000000154	0.21400000000000002	-0.01774999999999996	0.24404831829862697	-0.019726762331254893	0.53625	0.00550000000000006	0.025	3.469446951953614e-18
gaze_top20_alpha5	5.0	20	0.12200000000000003	0.0005000000000000421	0.22100000000000003	-0.010749999999999954	0.25169070410912336	-0.0120843765207585	0.5355000000000001	0.004750000000000143	0.030000000000000006	0.005000000000000008
gaze_top5_alpha0p25	0.25	5	0.12325	0.0017500000000000154	0.23149999999999998	-0.0002500000000000002	0.26398112203112095	0.00020604140123908765	0.5275	-0.003249999999999975	0.025	3.469446951953614e-18
gaze_top1_alpha0p25	0.25	1	0.12475	0.0032500000000000168	0.23224999999999998	0.0005000000000000004	0.2652981567554495	0.001523076125567624	0.5282500000000001	-0.0024999999999998357	0.025	3.469446951953614e-18
gaze_top20_alpha0p25	0.25	20	0.125	0.003500000000000017	0.23275	0.0010000000000000286	0.2659580162404181	0.0021829356105362296	0.536	0.005250000000000088	0.026000000000000002	0.0010000000000000044
gaze_top10_alpha0p25	0.25	10	0.127	0.005500000000000019	0.233	0.0012500000000000289	0.26684072976772566	0.0030656491378437956	0.5297499999999999	-0.0010000000000000009	0.024999999999999998	0.0
gaze_top1_alpha0p5	0.5	1	0.123	0.0015000000000000152	0.23325000000000004	0.0015000000000000568	0.2658788767305952	0.0021037961007133177	0.53225	0.0015000000000000568	0.022	-0.002999999999999999
gaze_top5_alpha0p5	0.5	5	0.12425	0.0027500000000000163	0.23375000000000004	0.0020000000000000573	0.26692259274245267	0.003147512112570805	0.5319999999999999	0.0012499999999999734	0.024	-0.0009999999999999974
gaze_top5_alpha1	1.0	5	0.12399999999999997	0.0024999999999999883	0.23500000000000001	0.0032500000000000306	0.26829552383591154	0.004520443206029678	0.53075	1.1102230246251565e-16	0.023	-0.0019999999999999983
gaze_top10_alpha1	1.0	10	0.1285	0.00700000000000002	0.23550000000000004	0.003750000000000059	0.2702250974611645	0.006450016831282657	0.53325	0.0025000000000000577	0.023	-0.0019999999999999983
