benchmark	condition	attention_alpha	top_k_gaze	is_baseline	seeds	n_seeds	mean_image_attention_mass_mean	mean_image_attention_mass_std	Acc_mean	Acc_std	Q_Acc_mean	Q_Acc_std	I_Acc_mean	I_Acc_std	G_Acc_mean	G_Acc_std	n_model_calls_mean	n_model_calls_std	n_groups_mean	n_groups_std	mean_boosted_layer_image_attention_mass_mean	mean_boosted_layer_image_attention_mass_std	mean_boosted_head_image_attention_mass_mean	mean_boosted_head_image_attention_mass_std	accuracy_mean	accuracy_std	bias_aligned_fraction_mean	bias_aligned_fraction_std	bias_aligned_error_rate_mean	bias_aligned_error_rate_std	error_rate_mean	error_rate_std	n_mean	n_std	mean_image_attention_mass_mean_delta_vs_baseline	accuracy_mean_delta_vs_baseline	bias_aligned_fraction_mean_delta_vs_baseline	bias_aligned_error_rate_mean_delta_vs_baseline	error_rate_mean_delta_vs_baseline	n_mean_delta_vs_baseline	Acc_mean_delta_vs_baseline	Q_Acc_mean_delta_vs_baseline	I_Acc_mean_delta_vs_baseline	G_Acc_mean_delta_vs_baseline	n_model_calls_mean_delta_vs_baseline	n_groups_mean_delta_vs_baseline
naturalbench	baseline	0.0	0	True	0,1,2,3,4,5,6,7,8,9	10	0.07000130392655061	0.00015964646578680685	0.5307499999999999	0.07164776882623615	0.233	0.09135401225756622	0.215	0.09536479667279979	0.024999999999999998	0.035039660069381064	400.0	0.0	100.0	0.0															0.0						0.0	0.0	0.0	0.0	0.0	0.0
naturalbench	gaze_top1_alpha0p25	0.25	1	False	0,1,2,3,4,5,6,7,8,9	10	0.07001623742112839	0.00016931917099913656	0.5282500000000001	0.07195725969089026	0.225	0.09246621004453463	0.21199999999999997	0.09381423725166192	0.025	0.03535533905932738	400.0	0.0	100.0	0.0	0.10586898876171044	0.0014856387437438428	0.8144940455361018	0.015117016984978865											1.4933494577776263e-05						-0.0024999999999998357	-0.008000000000000007	-0.0030000000000000304	3.469446951953614e-18	0.0	0.0
naturalbench	gaze_top1_alpha0p5	0.5	1	False	0,1,2,3,4,5,6,7,8,9	10	0.07007033280217992	0.00014161131813811932	0.53225	0.07014320668777872	0.2305	0.08989036532230679	0.21549999999999997	0.0945001469722549	0.022	0.03190262963734773	400.0	0.0	100.0	0.0	0.10765729678424676	0.0014696780822277505	0.8433932197119421	0.01428525061488364											6.902887562930393e-05						0.0015000000000000568	-0.0025000000000000022	0.0004999999999999727	-0.002999999999999999	0.0	0.0
naturalbench	gaze_top1_alpha1	1.0	1	False	0,1,2,3,4,5,6,7,8,9	10	0.07020875370472356	0.00017060082423886797	0.53175	0.07200549747530854	0.2305	0.09355479677707607	0.21799999999999997	0.09652863708650287	0.025	0.03274480450731417	400.0	0.0	100.0	0.0	0.11062689729315418	0.0013131180447403608	0.8904613032272088	0.011436222227859146											0.0002074497781729412						0.0010000000000000009	-0.0025000000000000022	0.002999999999999975	3.469446951953614e-18	0.0	0.0
naturalbench	gaze_top1_alpha2	2.0	1	False	0,1,2,3,4,5,6,7,8,9	10	0.07035929749085748	0.00016478380300656695	0.5297499999999999	0.07384715822411704	0.22949999999999998	0.09259979601609403	0.21200000000000002	0.09531235200352808	0.024	0.03306559138036599	400.0	0.0	100.0	0.0	0.11437660655573201	0.0010511241125245852	0.9515023144214185	0.006130190070482449											0.000357993564306866						-0.0010000000000000009	-0.003500000000000031	-0.002999999999999975	-0.0009999999999999974	0.0	0.0
naturalbench	gaze_top1_alpha5	5.0	1	False	0,1,2,3,4,5,6,7,8,9	10	0.07032041429016771	0.0001630228105970926	0.529	0.07405140856939259	0.22800000000000004	0.09345824973989425	0.20900000000000002	0.09541721251663372	0.024	0.03062315754094894	400.0	0.0	100.0	0.0	0.11723449681097257	0.0009403327770372604	0.9975530446414481	0.00044845238815004917											0.0003191103636170922						-0.0017499999999999183	-0.004999999999999977	-0.005999999999999978	-0.0009999999999999974	0.0	0.0
naturalbench	gaze_top1_alpha10	10.0	1	False	0,1,2,3,4,5,6,7,8,9	10	0.07034585169407015	0.00019053584504376825	0.532	0.07516463411886086	0.23200000000000004	0.09292171137277039	0.21300000000000002	0.09829660330968829	0.026000000000000002	0.032041639575194444	400.0	0.0	100.0	0.0	0.11742073643010438	0.0009264846721838327	1.0	0.0											0.00034454776751953464						0.0012500000000000844	-0.0009999999999999731	-0.001999999999999974	0.0010000000000000044	0.0	0.0
naturalbench	gaze_top5_alpha0p25	0.25	5	False	0,1,2,3,4,5,6,7,8,9	10	0.07048537434741294	0.00013323280576176615	0.5275	0.07311520589681282	0.22949999999999998	0.09358448351920075	0.21200000000000002	0.09761602782785667	0.025	0.03274480450731417	400.0	0.0	100.0	0.0	0.11011569703782857	0.0004122522750305792	0.3568520326738096	0.0034769267981787275											0.00048407042086232033						-0.003249999999999975	-0.003500000000000031	-0.002999999999999975	3.469446951953614e-18	0.0	0.0
naturalbench	gaze_top5_alpha0p5	0.5	5	False	0,1,2,3,4,5,6,7,8,9	10	0.07059502467363668	0.00016804016440957707	0.5319999999999999	0.07267507596601923	0.23149999999999998	0.09125818075962043	0.21600000000000003	0.09591083822430543	0.024	0.03339993346633427	400.0	0.0	100.0	0.0	0.11167433450898796	0.00046983162514963007	0.39096640132524235	0.0034508173693546668											0.0005937207470860656						0.0012499999999999734	-0.001500000000000029	0.0010000000000000286	-0.0009999999999999974	0.0	0.0
naturalbench	gaze_top5_alpha1	1.0	5	False	0,1,2,3,4,5,6,7,8,9	10	0.07140233443315094	0.0001795392598204964	0.53075	0.07085832892312503	0.227	0.08734351085735499	0.21000000000000002	0.09706813185707357	0.023	0.026267851073127395	400.0	0.0	100.0	0.0	0.11625128928362935	0.0004285371786458391	0.4657343654272291	0.002963897572308428											0.0014010305066003287						1.1102230246251565e-16	-0.006000000000000005	-0.004999999999999977	-0.0019999999999999983	0.0	0.0
naturalbench	gaze_top5_alpha2	2.0	5	False	0,1,2,3,4,5,6,7,8,9	10	0.07260048812938916	0.00016443430213585142	0.5329999999999999	0.07518310980532796	0.227	0.09478630937242173	0.21349999999999997	0.09913655004868566	0.023	0.031640339933558095	400.0	0.0	100.0	0.0	0.12511999599137025	0.000374005155211856	0.6223846616265543	0.0018791473016893268											0.002599184202838542						0.0022499999999999742	-0.006000000000000005	-0.001500000000000029	-0.0019999999999999983	0.0	0.0
naturalbench	gaze_top5_alpha5	5.0	5	False	0,1,2,3,4,5,6,7,8,9	10	0.07547781274887105	0.00013687625782763833	0.53325	0.07712768994048477	0.22600000000000003	0.09173633716012186	0.21550000000000002	0.1046010941094255	0.023	0.03128720008068618	400.0	0.0	100.0	0.0	0.1448385173242988	0.0003405296373804984	0.9454522406014668	0.0002790932374257592											0.005476508822320439						0.0025000000000000577	-0.0069999999999999785	0.0005000000000000282	-0.0019999999999999983	0.0	0.0
naturalbench	gaze_top5_alpha10	10.0	5	False	0,1,2,3,4,5,6,7,8,9	10	0.07591551783376264	0.00015114958684648249	0.5282500000000001	0.07684806438681459	0.2145	0.09420574410417988	0.209	0.10181137242742364	0.02	0.025385910352879695	400.0	0.0	100.0	0.0	0.14812491282818976	0.00032491965449255977	0.999774967049823	3.6956421701480263e-06											0.005914213907212029						-0.0024999999999998357	-0.018500000000000016	-0.006000000000000005	-0.0049999999999999975	0.0	0.0
naturalbench	gaze_top10_alpha0p25	0.25	10	False	0,1,2,3,4,5,6,7,8,9	10	0.07070367335135115	0.00017015116739696573	0.5297499999999999	0.07324284189522474	0.231	0.09527154174603594	0.21349999999999997	0.09681167284992032	0.024999999999999998	0.035039660069381064	400.0	0.0	100.0	0.0	0.119982734219282	0.00035743984939168674	0.3431199385690853	0.0025666672639120766											0.0007023694248005363						-0.0010000000000000009	-0.0020000000000000018	-0.001500000000000029	0.0	0.0	0.0
naturalbench	gaze_top10_alpha0p5	0.5	10	False	0,1,2,3,4,5,6,7,8,9	10	0.07139750924950547	0.00016467089123062436	0.5345	0.07655607966277618	0.23600000000000004	0.09912954487269005	0.221	0.10254538290706001	0.023999999999999997	0.035652645218989164	400.0	0.0	100.0	0.0	0.1234872778022412	0.00035421809852846696	0.38205199722658545	0.002340272644945148											0.0013962053229548549						0.003750000000000031	0.0030000000000000304	0.006000000000000005	-0.0010000000000000009	0.0	0.0
