benchmark	condition	seed	attention_alpha	top_k_gaze	is_baseline	source	accuracy	bias_aligned_fraction	bias_aligned_error_rate	error_rate	mean_image_attention_mass	mean_boosted_layer_image_attention_mass	mean_boosted_head_image_attention_mass	n	Acc	Q_Acc	I_Acc	G_Acc	n_model_calls	n_groups
vlmbias	baseline	0	0.0	0	True	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_baseline_seed0.summary.json	0.12	0.215	0.24431818181818182	0.88	0.09281801431646027			400.0						
vlmbias	baseline	1	0.0	0	True	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_baseline_seed1.summary.json	0.1275	0.2425	0.27793696275071633	0.8725	0.09379927193781055			400.0						
vlmbias	baseline	2	0.0	0	True	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_baseline_seed2.summary.json	0.1025	0.22	0.24512534818941503	0.8975	0.09349496478839582			400.0						
vlmbias	baseline	3	0.0	0	True	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_baseline_seed3.summary.json	0.11	0.265	0.29775280898876405	0.89	0.09288070227429404			400.0						
vlmbias	baseline	4	0.0	0	True	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_baseline_seed4.summary.json	0.1175	0.22	0.24929178470254956	0.8825	0.0930054746974081			400.0						
vlmbias	baseline	5	0.0	0	True	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_baseline_seed5.summary.json	0.13	0.2425	0.27873563218390807	0.87	0.09312703186843828			400.0						
vlmbias	baseline	6	0.0	0	True	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_baseline_seed6.summary.json	0.1125	0.24	0.2704225352112676	0.8875	0.0928117623772355			400.0						
vlmbias	baseline	7	0.0	0	True	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_baseline_seed7.summary.json	0.1275	0.2225	0.25501432664756446	0.8725	0.09278383467848689			400.0						
vlmbias	baseline	8	0.0	0	True	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_baseline_seed8.summary.json	0.1475	0.2125	0.24926686217008798	0.8525	0.09313267703384298			400.0						
vlmbias	baseline	9	0.0	0	True	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_baseline_seed9.summary.json	0.12	0.2375	0.26988636363636365	0.88	0.09296114213284369			400.0						
