condition	attention_alpha	top_k_gaze	seeds	runs	Acc_mean	Acc_std	Q_Acc_mean	Q_Acc_std	I_Acc_mean	I_Acc_std	G_Acc_mean	G_Acc_std	mean_image_attention_mass_mean	mean_image_attention_mass_std	mean_boosted_layer_image_attention_mass_mean	mean_boosted_layer_image_attention_mass_std	mean_boosted_head_image_attention_mass_mean	mean_boosted_head_image_attention_mass_std
baseline	0.000000	0	0,1,2,3,4,5,6,7,8,9	10	0.530750	0.071648	0.233000	0.091354	0.215000	0.095365	0.025000	0.035040	0.070001	0.000160				
gaze_top10_alpha10	10.000000	10	0,1,2,3,4,5,6,7,8,9	10	0.534250	0.082420	0.248000	0.110559	0.230500	0.105263	0.022000	0.032249	0.081641	0.000115	0.175919	0.000255	0.999833	0.000006
gaze_top10_alpha20	20.000000	10	0,1,2,3,4,5,6,7,8,9	10	0.538250	0.084492	0.253000	0.108300	0.235000	0.108192	0.024000	0.035653	0.081610	0.000114	0.175769	0.000246	0.999992	0.000001
gaze_top10_alpha30	30.000000	10	0,1,2,3,4,5,6,7,8,9	10	0.531250	0.086211	0.242500	0.114921	0.230000	0.106406	0.022000	0.033599	0.081488	0.000084	0.175682	0.000285	0.999992	0.000001
gaze_top10_alpha50	50.000000	10	0,1,2,3,4,5,6,7,8,9	10	0.536750	0.084730	0.250500	0.115841	0.235500	0.109175	0.026000	0.030984	0.081502	0.000105	0.175698	0.000272	0.999990	0.000001
gaze_top10_alpha100	100.000000	10	0,1,2,3,4,5,6,7,8,9	10	0.533250	0.081284	0.246000	0.110800	0.229500	0.104521	0.021000	0.029231	0.081486	0.000101	0.175619	0.000276	0.999985	0.000001
gaze_top20_alpha10	10.000000	20	0,1,2,3,4,5,6,7,8,9	10	0.536250	0.079715	0.248000	0.104886	0.235500	0.102346	0.025000	0.030641	0.093447	0.000163	0.202471	0.000187	0.999709	0.000009
gaze_top20_alpha20	20.000000	20	0,1,2,3,4,5,6,7,8,9	10	0.538000	0.079152	0.250000	0.102794	0.241500	0.096553	0.024000	0.030258	0.093477	0.000177	0.202511	0.000173	0.999992	0.000001
gaze_top20_alpha30	30.000000	20	0,1,2,3,4,5,6,7,8,9	10	0.531500	0.080925	0.246500	0.102009	0.237500	0.096703	0.027000	0.029078	0.093445	0.000132	0.202544	0.000164	0.999993	0.000001
gaze_top20_alpha50	50.000000	20	0,1,2,3,4,5,6,7,8,9	10	0.536500	0.080779	0.252500	0.105337	0.244500	0.102536	0.026000	0.031340	0.093305	0.000152	0.202367	0.000168	0.999990	0.000001
gaze_top20_alpha100	100.000000	20	0,1,2,3,4,5,6,7,8,9	10	0.534000	0.079871	0.249000	0.102654	0.241500	0.100804	0.023000	0.029078	0.093464	0.000149	0.202644	0.000176	0.999984	0.000001
