benchmark	condition	seed	attention_alpha	top_k_gaze	is_baseline	Acc	Q_Acc	I_Acc	G_Acc	mean_image_attention_mass	mean_boosted_layer_image_attention_mass	mean_boosted_head_image_attention_mass	out_path
naturalbench	baseline	0	0.000000	0	True	0.547500	0.280000	0.115000	0.010000	0.070083			segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_baseline_seed0.jsonl
naturalbench	gaze_top10_alpha10	0	10.000000	10	False	0.555000	0.310000	0.170000	0.030000	0.081743	0.175805	0.999834	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top10_alpha10_seed0.jsonl
naturalbench	gaze_top10_alpha20	0	20.000000	10	False	0.545000	0.295000	0.160000	0.030000	0.081699	0.175645	0.999991	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top10_alpha20_seed0.jsonl
naturalbench	gaze_top10_alpha30	0	30.000000	10	False	0.560000	0.310000	0.180000	0.030000	0.081522	0.175491	0.999991	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top10_alpha30_seed0.jsonl
naturalbench	gaze_top10_alpha50	0	50.000000	10	False	0.562500	0.310000	0.180000	0.030000	0.081559	0.175535	0.999991	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top10_alpha50_seed0.jsonl
naturalbench	gaze_top10_alpha100	0	100.000000	10	False	0.552500	0.295000	0.170000	0.040000	0.081509	0.175470	0.999984	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top10_alpha100_seed0.jsonl
naturalbench	gaze_top20_alpha10	0	10.000000	20	False	0.570000	0.315000	0.205000	0.040000	0.093447	0.202304	0.999718	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top20_alpha10_seed0.jsonl
naturalbench	gaze_top20_alpha20	0	20.000000	20	False	0.560000	0.290000	0.195000	0.030000	0.093439	0.202348	0.999994	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top20_alpha20_seed0.jsonl
naturalbench	gaze_top20_alpha30	0	30.000000	20	False	0.560000	0.290000	0.210000	0.040000	0.093475	0.202421	0.999993	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top20_alpha30_seed0.jsonl
naturalbench	gaze_top20_alpha50	0	50.000000	20	False	0.560000	0.300000	0.210000	0.030000	0.093300	0.202249	0.999991	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top20_alpha50_seed0.jsonl
naturalbench	gaze_top20_alpha100	0	100.000000	20	False	0.555000	0.295000	0.200000	0.030000	0.093502	0.202542	0.999982	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top20_alpha100_seed0.jsonl
naturalbench	baseline	1	0.000000	0	True	0.532500	0.155000	0.120000	0.000000	0.070033			segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_baseline_seed1.jsonl
naturalbench	gaze_top10_alpha10	1	10.000000	10	False	0.525000	0.180000	0.100000	0.000000	0.081640	0.176290	0.999838	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top10_alpha10_seed1.jsonl
naturalbench	gaze_top10_alpha20	1	20.000000	10	False	0.527500	0.195000	0.110000	0.000000	0.081595	0.176078	0.999992	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top10_alpha20_seed1.jsonl
naturalbench	gaze_top10_alpha30	1	30.000000	10	False	0.530000	0.190000	0.110000	0.000000	0.081465	0.176045	0.999992	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top10_alpha30_seed1.jsonl
naturalbench	gaze_top10_alpha50	1	50.000000	10	False	0.527500	0.190000	0.110000	0.000000	0.081540	0.176097	0.999992	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top10_alpha50_seed1.jsonl
naturalbench	gaze_top10_alpha100	1	100.000000	10	False	0.517500	0.175000	0.105000	0.000000	0.081476	0.176007	0.999984	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top10_alpha100_seed1.jsonl
naturalbench	gaze_top20_alpha10	1	10.000000	20	False	0.520000	0.200000	0.090000	0.000000	0.093412	0.202683	0.999720	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top20_alpha10_seed1.jsonl
naturalbench	gaze_top20_alpha20	1	20.000000	20	False	0.532500	0.200000	0.110000	0.000000	0.093449	0.202702	0.999994	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top20_alpha20_seed1.jsonl
naturalbench	gaze_top20_alpha30	1	30.000000	20	False	0.527500	0.195000	0.115000	0.000000	0.093431	0.202773	0.999993	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top20_alpha30_seed1.jsonl
naturalbench	gaze_top20_alpha50	1	50.000000	20	False	0.520000	0.195000	0.090000	0.000000	0.093275	0.202573	0.999992	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top20_alpha50_seed1.jsonl
naturalbench	gaze_top20_alpha100	1	100.000000	20	False	0.527500	0.200000	0.100000	0.000000	0.093472	0.202872	0.999984	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top20_alpha100_seed1.jsonl
naturalbench	baseline	2	0.000000	0	True	0.657500	0.385000	0.385000	0.090000	0.070036			segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_baseline_seed2.jsonl
naturalbench	gaze_top10_alpha10	2	10.000000	10	False	0.677500	0.425000	0.395000	0.050000	0.081539	0.176006	0.999824	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top10_alpha10_seed2.jsonl
naturalbench	gaze_top10_alpha20	2	20.000000	10	False	0.692500	0.435000	0.415000	0.060000	0.081514	0.175875	0.999993	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top10_alpha20_seed2.jsonl
naturalbench	gaze_top10_alpha30	2	30.000000	10	False	0.685000	0.435000	0.405000	0.060000	0.081432	0.175867	0.999992	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top10_alpha30_seed2.jsonl
naturalbench	gaze_top10_alpha50	2	50.000000	10	False	0.692500	0.450000	0.415000	0.070000	0.081389	0.175798	0.999990	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/naturalbench/qwen25vl_3b_naturalbench_gaze_attention_gaze_top10_alpha50_seed2.jsonl
