condition	attention_alpha	top_k_gaze	seeds	runs	accuracy_mean	accuracy_std	bias_aligned_fraction_mean	bias_aligned_fraction_std	bias_aligned_error_rate_mean	bias_aligned_error_rate_std	error_rate_mean	error_rate_std	mean_image_attention_mass_mean	mean_image_attention_mass_std	mean_boosted_layer_image_attention_mass_mean	mean_boosted_layer_image_attention_mass_std	mean_boosted_head_image_attention_mass_mean	mean_boosted_head_image_attention_mass_std
baseline	0.000000	0	0,1,2,3,4,5,6,7,8,9	10	0.121500	0.012539	0.231750	0.016501	0.263775	0.017900	0.878500	0.012539	0.093081	0.000330				
gaze_top10_alpha10	10.000000	10	0,1,2,3,4,5,6,7,8,9	10	0.129250	0.013126	0.235750	0.011905	0.270702	0.012136	0.870750	0.013126	0.103969	0.000329	0.197122	0.000332	0.999752	0.000019
gaze_top10_alpha20	20.000000	10	0,1,2,3,4,5,6,7,8,9	10	0.132750	0.012718	0.237500	0.013794	0.273756	0.013457	0.867250	0.012718	0.103843	0.000302	0.196941	0.000341	0.999995	0.000001
gaze_top10_alpha30	30.000000	10	0,1,2,3,4,5,6,7,8,9	10	0.128500	0.011068	0.239000	0.011377	0.274222	0.012081	0.871500	0.011068	0.103887	0.000295	0.196967	0.000302	0.999995	0.000001
gaze_top10_alpha50	50.000000	10	0,1,2,3,4,5,6,7,8,9	10	0.128250	0.014095	0.238500	0.014443	0.273582	0.015949	0.871750	0.014095	0.103950	0.000273	0.197126	0.000351	0.999993	0.000001
gaze_top10_alpha100	100.000000	10	0,1,2,3,4,5,6,7,8,9	10	0.130000	0.011607	0.238000	0.014615	0.273523	0.015656	0.870000	0.011607	0.103985	0.000279	0.197130	0.000340	0.999992	0.000001
gaze_top20_alpha10	10.000000	20	0,1,2,3,4,5,6,7,8,9	10	0.123250	0.019757	0.214000	0.013081	0.244048	0.013287	0.876750	0.019757	0.112899	0.000309	0.215545	0.000205	0.999749	0.000008
gaze_top20_alpha20	20.000000	20	0,1,2,3,4,5,6,7,8,9	10	0.122000	0.019784	0.215500	0.013323	0.245437	0.014067	0.878000	0.019784	0.112948	0.000328	0.215655	0.000202	0.999995	0.000001
gaze_top20_alpha30	30.000000	20	0,1,2,3,4,5,6,7,8,9	10	0.122250	0.016135	0.210750	0.016075	0.240044	0.016909	0.877750	0.016135	0.112995	0.000341	0.215652	0.000234	0.999997	0.000001
gaze_top20_alpha50	50.000000	20	0,1,2,3,4,5,6,7,8,9	10	0.124750	0.019911	0.213750	0.012977	0.244168	0.012942	0.875250	0.019911	0.112905	0.000281	0.215616	0.000204	0.999994	0.000001
gaze_top20_alpha100	100.000000	20	0,1,2,3,4,5,6,7,8,9	10	0.126500	0.016338	0.210250	0.012718	0.240667	0.013319	0.873500	0.016338	0.113004	0.000256	0.215715	0.000177	0.999992	0.000001
