benchmark	condition	seed	attention_alpha	top_k_gaze	is_baseline	accuracy	bias_aligned_fraction	bias_aligned_error_rate	error_rate	mean_image_attention_mass	mean_boosted_layer_image_attention_mass	mean_boosted_head_image_attention_mass	out_path
vlmbias	baseline	0	0.000000	0	True	0.120000	0.215000	0.244318	0.880000	0.092818			segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_baseline_seed0.jsonl
vlmbias	gaze_top10_alpha10	0	10.000000	10	False	0.122500	0.232500	0.264957	0.877500	0.103450	0.196586	0.999762	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top10_alpha10_seed0.jsonl
vlmbias	gaze_top10_alpha20	0	20.000000	10	False	0.135000	0.232500	0.268786	0.865000	0.103427	0.196446	0.999995	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top10_alpha20_seed0.jsonl
vlmbias	gaze_top10_alpha30	0	30.000000	10	False	0.130000	0.222500	0.255747	0.870000	0.103513	0.196485	0.999994	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top10_alpha30_seed0.jsonl
vlmbias	gaze_top10_alpha50	0	50.000000	10	False	0.120000	0.222500	0.252841	0.880000	0.103533	0.196476	0.999994	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top10_alpha50_seed0.jsonl
vlmbias	gaze_top10_alpha100	0	100.000000	10	False	0.135000	0.232500	0.268786	0.865000	0.103539	0.196624	0.999992	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top10_alpha100_seed0.jsonl
vlmbias	gaze_top20_alpha10	0	10.000000	20	False	0.090000	0.217500	0.239011	0.910000	0.112459	0.215245	0.999758	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha10_seed0.jsonl
vlmbias	gaze_top20_alpha20	0	20.000000	20	False	0.095000	0.212500	0.234807	0.905000	0.112357	0.215272	0.999996	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha20_seed0.jsonl
vlmbias	gaze_top20_alpha30	0	30.000000	20	False	0.105000	0.200000	0.223464	0.895000	0.112399	0.215299	0.999997	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha30_seed0.jsonl
vlmbias	gaze_top20_alpha50	0	50.000000	20	False	0.097500	0.212500	0.235457	0.902500	0.112293	0.215252	0.999994	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha50_seed0.jsonl
vlmbias	gaze_top20_alpha100	0	100.000000	20	False	0.102500	0.210000	0.233983	0.897500	0.112503	0.215391	0.999991	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha100_seed0.jsonl
vlmbias	baseline	1	0.000000	0	True	0.127500	0.242500	0.277937	0.872500	0.093799			segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_baseline_seed1.jsonl
vlmbias	gaze_top10_alpha10	1	10.000000	10	False	0.140000	0.240000	0.279070	0.860000	0.104746	0.197778	0.999738	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top10_alpha10_seed1.jsonl
vlmbias	gaze_top10_alpha20	1	20.000000	10	False	0.140000	0.242500	0.281977	0.860000	0.104622	0.197589	0.999994	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top10_alpha20_seed1.jsonl
vlmbias	gaze_top10_alpha30	1	30.000000	10	False	0.140000	0.242500	0.281977	0.860000	0.104587	0.197480	0.999994	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_high_alpha_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top10_alpha30_seed1.jsonl
