condition	attention_alpha	top_k_gaze	seeds	runs	Acc_mean	Acc_std	Q_Acc_mean	Q_Acc_std	I_Acc_mean	I_Acc_std	G_Acc_mean	G_Acc_std	mean_image_attention_mass_mean	mean_image_attention_mass_std	mean_boosted_layer_image_attention_mass_mean	mean_boosted_layer_image_attention_mass_std	mean_boosted_head_image_attention_mass_mean	mean_boosted_head_image_attention_mass_std
baseline	0.000000	0	0	1	0.547500	0.000000	0.280000	0.000000	0.115000	0.000000	0.010000	0.000000	0.070083	0.000000				
gaze_top10_alpha0p25	0.250000	10	0	1	0.550000	0.000000	0.280000	0.000000	0.125000	0.000000	0.010000	0.000000	0.070866	0.000000	0.120138	0.000000	0.343747	0.000000
gaze_top10_alpha0p5	0.500000	10	0	1	0.552500	0.000000	0.285000	0.000000	0.125000	0.000000	0.020000	0.000000	0.071547	0.000000	0.123606	0.000000	0.382610	0.000000
gaze_top10_alpha1	1.000000	10	0	1	0.542500	0.000000	0.280000	0.000000	0.110000	0.000000	0.020000	0.000000	0.073076	0.000000	0.131076	0.000000	0.467170	0.000000
gaze_top10_alpha10	10.000000	10	0	1	0.555000	0.000000	0.310000	0.000000	0.170000	0.000000	0.030000	0.000000	0.081743	0.000000	0.175805	0.000000	0.999834	0.000000
gaze_top10_alpha2	2.000000	10	0	1	0.550000	0.000000	0.280000	0.000000	0.140000	0.000000	0.030000	0.000000	0.075933	0.000000	0.145967	0.000000	0.639889	0.000000
gaze_top10_alpha5	5.000000	10	0	1	0.557500	0.000000	0.315000	0.000000	0.175000	0.000000	0.030000	0.000000	0.081021	0.000000	0.172038	0.000000	0.953128	0.000000
gaze_top1_alpha0p25	0.250000	1	0	1	0.552500	0.000000	0.285000	0.000000	0.125000	0.000000	0.020000	0.000000	0.070145	0.000000	0.103761	0.000000	0.807757	0.000000
gaze_top1_alpha0p5	0.500000	1	0	1	0.557500	0.000000	0.295000	0.000000	0.130000	0.000000	0.020000	0.000000	0.070207	0.000000	0.105393	0.000000	0.835927	0.000000
gaze_top1_alpha1	1.000000	1	0	1	0.557500	0.000000	0.290000	0.000000	0.130000	0.000000	0.020000	0.000000	0.070372	0.000000	0.108472	0.000000	0.885601	0.000000
gaze_top1_alpha10	10.000000	1	0	1	0.547500	0.000000	0.280000	0.000000	0.115000	0.000000	0.020000	0.000000	0.070463	0.000000	0.115523	0.000000	1.000000	0.000000
gaze_top1_alpha2	2.000000	1	0	1	0.557500	0.000000	0.290000	0.000000	0.130000	0.000000	0.020000	0.000000	0.070497	0.000000	0.112362	0.000000	0.948821	0.000000
gaze_top1_alpha5	5.000000	1	0	1	0.555000	0.000000	0.285000	0.000000	0.125000	0.000000	0.020000	0.000000	0.070478	0.000000	0.115325	0.000000	0.997351	0.000000
gaze_top20_alpha0p25	0.250000	20	0	1	0.547500	0.000000	0.280000	0.000000	0.120000	0.000000	0.010000	0.000000	0.071513	0.000000	0.109942	0.000000	0.314247	0.000000
gaze_top20_alpha0p5	0.500000	20	0	1	0.542500	0.000000	0.270000	0.000000	0.115000	0.000000	0.010000	0.000000	0.072653	0.000000	0.115158	0.000000	0.351770	0.000000
gaze_top20_alpha1	1.000000	20	0	1	0.557500	0.000000	0.290000	0.000000	0.135000	0.000000	0.020000	0.000000	0.075596	0.000000	0.127017	0.000000	0.433389	0.000000
gaze_top20_alpha10	10.000000	20	0	1	0.570000	0.000000	0.315000	0.000000	0.205000	0.000000	0.040000	0.000000	0.093447	0.000000	0.202304	0.000000	0.999718	0.000000
gaze_top20_alpha2	2.000000	20	0	1	0.552500	0.000000	0.285000	0.000000	0.140000	0.000000	0.030000	0.000000	0.081307	0.000000	0.151516	0.000000	0.603831	0.000000
gaze_top20_alpha5	5.000000	20	0	1	0.562500	0.000000	0.295000	0.000000	0.195000	0.000000	0.040000	0.000000	0.091938	0.000000	0.195919	0.000000	0.940158	0.000000
gaze_top5_alpha0p25	0.250000	5	0	1	0.547500	0.000000	0.285000	0.000000	0.120000	0.000000	0.020000	0.000000	0.070612	0.000000	0.109890	0.000000	0.356597	0.000000
gaze_top5_alpha0p5	0.500000	5	0	1	0.552500	0.000000	0.280000	0.000000	0.120000	0.000000	0.020000	0.000000	0.070743	0.000000	0.111461	0.000000	0.390995	0.000000
gaze_top5_alpha1	1.000000	5	0	1	0.545000	0.000000	0.280000	0.000000	0.120000	0.000000	0.020000	0.000000	0.071496	0.000000	0.115981	0.000000	0.466004	0.000000
gaze_top5_alpha10	10.000000	5	0	1	0.542500	0.000000	0.270000	0.000000	0.120000	0.000000	0.020000	0.000000	0.075972	0.000000	0.147788	0.000000	0.999781	0.000000
gaze_top5_alpha2	2.000000	5	0	1	0.555000	0.000000	0.275000	0.000000	0.125000	0.000000	0.020000	0.000000	0.072762	0.000000	0.124872	0.000000	0.623508	0.000000
gaze_top5_alpha5	5.000000	5	0	1	0.555000	0.000000	0.280000	0.000000	0.130000	0.000000	0.020000	0.000000	0.075604	0.000000	0.144505	0.000000	0.945739	0.000000
