condition	attention_alpha	top_k_gaze	seeds	runs	accuracy_mean	accuracy_std	bias_aligned_fraction_mean	bias_aligned_fraction_std	bias_aligned_error_rate_mean	bias_aligned_error_rate_std	error_rate_mean	error_rate_std	mean_image_attention_mass_mean	mean_image_attention_mass_std	mean_boosted_layer_image_attention_mass_mean	mean_boosted_layer_image_attention_mass_std	mean_boosted_head_image_attention_mass_mean	mean_boosted_head_image_attention_mass_std
baseline	0.000000	0	0	1	0.120000	0.000000	0.215000	0.000000	0.244318	0.000000	0.880000	0.000000	0.092818	0.000000				
gaze_top10_alpha0p25	0.250000	10	0	1	0.130000	0.000000	0.215000	0.000000	0.247126	0.000000	0.870000	0.000000	0.093270	0.000000	0.142919	0.000000	0.349482	0.000000
gaze_top10_alpha0p5	0.500000	10	0	1	0.117500	0.000000	0.232500	0.000000	0.263456	0.000000	0.882500	0.000000	0.094219	0.000000	0.146882	0.000000	0.392208	0.000000
gaze_top10_alpha1	1.000000	10	0	1	0.125000	0.000000	0.225000	0.000000	0.257143	0.000000	0.875000	0.000000	0.095323	0.000000	0.153910	0.000000	0.481739	0.000000
gaze_top10_alpha10	10.000000	10	0	1	0.122500	0.000000	0.232500	0.000000	0.264957	0.000000	0.877500	0.000000	0.103450	0.000000	0.196586	0.000000	0.999762	0.000000
gaze_top10_alpha2	2.000000	10	0	1	0.127500	0.000000	0.227500	0.000000	0.260745	0.000000	0.872500	0.000000	0.098325	0.000000	0.169529	0.000000	0.659476	0.000000
gaze_top10_alpha5	5.000000	10	0	1	0.127500	0.000000	0.235000	0.000000	0.269341	0.000000	0.872500	0.000000	0.102794	0.000000	0.193048	0.000000	0.953959	0.000000
gaze_top1_alpha0p25	0.250000	1	0	1	0.117500	0.000000	0.210000	0.000000	0.237960	0.000000	0.882500	0.000000	0.092783	0.000000	0.047784	0.000000	0.456446	0.000000
gaze_top1_alpha0p5	0.500000	1	0	1	0.115000	0.000000	0.220000	0.000000	0.248588	0.000000	0.885000	0.000000	0.092558	0.000000	0.050273	0.000000	0.495611	0.000000
gaze_top1_alpha1	1.000000	1	0	1	0.122500	0.000000	0.217500	0.000000	0.247863	0.000000	0.877500	0.000000	0.092658	0.000000	0.054834	0.000000	0.571354	0.000000
gaze_top1_alpha10	10.000000	1	0	1	0.117500	0.000000	0.215000	0.000000	0.243626	0.000000	0.882500	0.000000	0.093629	0.000000	0.081739	0.000000	0.999190	0.000000
gaze_top1_alpha2	2.000000	1	0	1	0.125000	0.000000	0.220000	0.000000	0.251429	0.000000	0.875000	0.000000	0.092974	0.000000	0.063477	0.000000	0.708100	0.000000
gaze_top1_alpha5	5.000000	1	0	1	0.120000	0.000000	0.227500	0.000000	0.258523	0.000000	0.880000	0.000000	0.093661	0.000000	0.078177	0.000000	0.939405	0.000000
gaze_top20_alpha0p25	0.250000	20	0	1	0.120000	0.000000	0.220000	0.000000	0.250000	0.000000	0.880000	0.000000	0.093777	0.000000	0.131470	0.000000	0.337016	0.000000
gaze_top20_alpha0p5	0.500000	20	0	1	0.110000	0.000000	0.235000	0.000000	0.264045	0.000000	0.890000	0.000000	0.095032	0.000000	0.137097	0.000000	0.378425	0.000000
gaze_top20_alpha1	1.000000	20	0	1	0.112500	0.000000	0.222500	0.000000	0.250704	0.000000	0.887500	0.000000	0.097618	0.000000	0.149222	0.000000	0.468309	0.000000
gaze_top20_alpha10	10.000000	20	0	1	0.090000	0.000000	0.217500	0.000000	0.239011	0.000000	0.910000	0.000000	0.112459	0.000000	0.215245	0.000000	0.999758	0.000000
gaze_top20_alpha2	2.000000	20	0	1	0.120000	0.000000	0.227500	0.000000	0.258523	0.000000	0.880000	0.000000	0.103326	0.000000	0.172630	0.000000	0.643753	0.000000
gaze_top20_alpha5	5.000000	20	0	1	0.107500	0.000000	0.207500	0.000000	0.232493	0.000000	0.892500	0.000000	0.111299	0.000000	0.209840	0.000000	0.949993	0.000000
gaze_top5_alpha0p25	0.250000	5	0	1	0.115000	0.000000	0.217500	0.000000	0.245763	0.000000	0.885000	0.000000	0.092683	0.000000	0.131723	0.000000	0.352015	0.000000
gaze_top5_alpha0p5	0.500000	5	0	1	0.115000	0.000000	0.225000	0.000000	0.254237	0.000000	0.885000	0.000000	0.093286	0.000000	0.134231	0.000000	0.392403	0.000000
gaze_top5_alpha1	1.000000	5	0	1	0.112500	0.000000	0.227500	0.000000	0.256338	0.000000	0.887500	0.000000	0.093549	0.000000	0.139087	0.000000	0.479468	0.000000
gaze_top5_alpha10	10.000000	5	0	1	0.125000	0.000000	0.230000	0.000000	0.262857	0.000000	0.875000	0.000000	0.097392	0.000000	0.170333	0.000000	0.999703	0.000000
gaze_top5_alpha2	2.000000	5	0	1	0.110000	0.000000	0.232500	0.000000	0.261236	0.000000	0.890000	0.000000	0.094984	0.000000	0.149435	0.000000	0.647964	0.000000
gaze_top5_alpha5	5.000000	5	0	1	0.120000	0.000000	0.227500	0.000000	0.258523	0.000000	0.880000	0.000000	0.096900	0.000000	0.166905	0.000000	0.947265	0.000000
