benchmark	condition	seed	attention_alpha	top_k_gaze	is_baseline	accuracy	bias_aligned_fraction	bias_aligned_error_rate	error_rate	mean_image_attention_mass	mean_boosted_layer_image_attention_mass	mean_boosted_head_image_attention_mass	out_path
vlmbias	baseline	0	0.000000	0	True	0.120000	0.215000	0.244318	0.880000	0.092818			segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_baseline_seed0.jsonl
vlmbias	gaze_top1_alpha0p25	0	0.250000	1	False	0.117500	0.210000	0.237960	0.882500	0.092783	0.047784	0.456446	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha0p25_seed0.jsonl
vlmbias	gaze_top5_alpha0p25	0	0.250000	5	False	0.115000	0.217500	0.245763	0.885000	0.092683	0.131723	0.352015	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top5_alpha0p25_seed0.jsonl
vlmbias	gaze_top10_alpha0p25	0	0.250000	10	False	0.130000	0.215000	0.247126	0.870000	0.093270	0.142919	0.349482	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top10_alpha0p25_seed0.jsonl
vlmbias	gaze_top20_alpha0p25	0	0.250000	20	False	0.120000	0.220000	0.250000	0.880000	0.093777	0.131470	0.337016	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha0p25_seed0.jsonl
vlmbias	gaze_top1_alpha0p5	0	0.500000	1	False	0.115000	0.220000	0.248588	0.885000	0.092558	0.050273	0.495611	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha0p5_seed0.jsonl
vlmbias	gaze_top5_alpha0p5	0	0.500000	5	False	0.115000	0.225000	0.254237	0.885000	0.093286	0.134231	0.392403	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top5_alpha0p5_seed0.jsonl
vlmbias	gaze_top10_alpha0p5	0	0.500000	10	False	0.117500	0.232500	0.263456	0.882500	0.094219	0.146882	0.392208	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top10_alpha0p5_seed0.jsonl
vlmbias	gaze_top20_alpha0p5	0	0.500000	20	False	0.110000	0.235000	0.264045	0.890000	0.095032	0.137097	0.378425	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top20_alpha0p5_seed0.jsonl
vlmbias	gaze_top1_alpha1	0	1.000000	1	False	0.122500	0.217500	0.247863	0.877500	0.092658	0.054834	0.571354	segments/vlm_bias_attention/runs/vlmbias_gaze_attention_sweep/vlmbias/qwen25vl_3b_vlmbias_gaze_attention_gaze_top1_alpha1_seed0.jsonl
